,Industry,Year,Metric,Attribute,Value,Scenario
2012,Mining,2045,8-Output,Direct,0,Large Higher Receipt
2013,Mining,2045,8-Output,Indirect,1912645.886,Large Higher Receipt
2014,Mining,2045,8-Output,Induced,421647.98,Large Higher Receipt
2015,Mining,2045,8-Output,Total,2334293.856,Large Higher Receipt
2016,Mining,2050,1-Employment,Direct,0,Large Higher Receipt
2017,Mining,2050,1-Employment,Indirect,4.626,Large Higher Receipt
2018,Mining,2050,1-Employment,Induced,1.076,Large Higher Receipt
2019,Mining,2050,1-Employment,Total,5.706,Large Higher Receipt
2020,Mining,2050,2-EmployeeCompensation,Direct,0,Large Higher Receipt
2021,Mining,2050,2-EmployeeCompensation,Indirect,255513.896,Large Higher Receipt
2022,Mining,2050,2-EmployeeCompensation,Induced,56660.032,Large Higher Receipt
2023,Mining,2050,2-EmployeeCompensation,Total,312173.924,Large Higher Receipt
2024,Mining,2050,3-PropietorsIncome,Direct,0,Large Higher Receipt
2025,Mining,2050,3-PropietorsIncome,Indirect,-1302.178,Large Higher Receipt
2026,Mining,2050,3-PropietorsIncome,Induced,25622.016,Large Higher Receipt
2027,Mining,2050,3-PropietorsIncome,Total,24319.832,Large Higher Receipt
2028,Mining,2050,4-LaborIncome,Direct,0,Large Higher Receipt
2029,Mining,2050,4-LaborIncome,Indirect,254211.718,Large Higher Receipt
2030,Mining,2050,4-LaborIncome,Induced,82282.048,Large Higher Receipt
2031,Mining,2050,4-LaborIncome,Total,336493.76,Large Higher Receipt
2032,Mining,2050,5-OtherPropertyTypeIncome,Direct,0,Large Higher Receipt
2033,Mining,2050,5-OtherPropertyTypeIncome,Indirect,560266.332,Large Higher Receipt
2034,Mining,2050,5-OtherPropertyTypeIncome,Induced,59405.952,Large Higher Receipt
2035,Mining,2050,5-OtherPropertyTypeIncome,Total,619672.288,Large Higher Receipt
2036,Mining,2050,6-IndirectBusinessTaxes,Direct,0,Large Higher Receipt
2037,Mining,2050,6-IndirectBusinessTaxes,Indirect,71162.65,Large Higher Receipt
2038,Mining,2050,6-IndirectBusinessTaxes,Induced,19373.65,Large Higher Receipt
2039,Mining,2050,6-IndirectBusinessTaxes,Total,90536.3,Large Higher Receipt
2040,Mining,2050,7-TotalValueAdded,Direct,0,Large Higher Receipt
2041,Mining,2050,7-TotalValueAdded,Indirect,885640.704,Large Higher Receipt
2042,Mining,2050,7-TotalValueAdded,Induced,161061.638,Large Higher Receipt
2043,Mining,2050,7-TotalValueAdded,Total,1046702.344,Large Higher Receipt
2044,Mining,2050,8-Output,Direct,0,Large Higher Receipt
2045,Mining,2050,8-Output,Indirect,1813267.014,Large Higher Receipt
2046,Mining,2050,8-Output,Induced,410427.4,Large Higher Receipt
2047,Mining,2050,8-Output,Total,2223694.402,Large Higher Receipt
2048,Mining,2055,1-Employment,Direct,0,Large Higher Receipt
2049,Mining,2055,1-Employment,Indirect,1.024,Large Higher Receipt
2050,Mining,2055,1-Employment,Induced,0.342,Large Higher Receipt
2051,Mining,2055,1-Employment,Total,1.37,Large Higher Receipt
2052,Mining,2055,2-EmployeeCompensation,Direct,0,Large Higher Receipt
2053,Mining,2055,2-EmployeeCompensation,Indirect,55192.14,Large Higher Receipt
2054,Mining,2055,2-EmployeeCompensation,Induced,18205.488,Large Higher Receipt
2055,Mining,2055,2-EmployeeCompensation,Total,73397.632,Large Higher Receipt
2056,Mining,2055,3-PropietorsIncome,Direct,0,Large Higher Receipt
2057,Mining,2055,3-PropietorsIncome,Indirect,908.674,Large Higher Receipt
2058,Mining,2055,3-PropietorsIncome,Induced,7647.454,Large Higher Receipt
2059,Mining,2055,3-PropietorsIncome,Total,8556.132,Large Higher Receipt
2060,Mining,2055,4-LaborIncome,Direct,0,Large Higher Receipt
2061,Mining,2055,4-LaborIncome,Indirect,56100.82,Large Higher Receipt
2062,Mining,2055,4-LaborIncome,Induced,25852.942,Large Higher Receipt
2063,Mining,2055,4-LaborIncome,Total,81953.76,Large Higher Receipt
2064,Mining,2055,5-OtherPropertyTypeIncome,Direct,0,Large Higher Receipt
2065,Mining,2055,5-OtherPropertyTypeIncome,Indirect,122193.928,Large Higher Receipt
2066,Mining,2055,5-OtherPropertyTypeIncome,Induced,19685.972,Large Higher Receipt
2067,Mining,2055,5-OtherPropertyTypeIncome,Total,141879.898,Large Higher Receipt
2068,Mining,2055,6-IndirectBusinessTaxes,Direct,0,Large Higher Receipt
2069,Mining,2055,6-IndirectBusinessTaxes,Indirect,15965.434,Large Higher Receipt
2070,Mining,2055,6-IndirectBusinessTaxes,Induced,6557.334,Large Higher Receipt
2071,Mining,2055,6-IndirectBusinessTaxes,Total,22522.762,Large Higher Receipt
2072,Mining,2055,7-TotalValueAdded,Direct,0,Large Higher Receipt
2073,Mining,2055,7-TotalValueAdded,Indirect,194260.18,Large Higher Receipt
2074,Mining,2055,7-TotalValueAdded,Induced,52096.244,Large Higher Receipt
2075,Mining,2055,7-TotalValueAdded,Total,246356.428,Large Higher Receipt
2076,Mining,2055,8-Output,Direct,0,Large Higher Receipt
2077,Mining,2055,8-Output,Indirect,407721.232,Large Higher Receipt
2078,Mining,2055,8-Output,Induced,130246.652,Large Higher Receipt
2079,Mining,2055,8-Output,Total,537967.882,Large Higher Receipt
2080,Mining,2060,1-Employment,Direct,0,Large Higher Receipt
2081,Mining,2060,1-Employment,Indirect,0.522,Large Higher Receipt
2082,Mining,2060,1-Employment,Induced,0.22,Large Higher Receipt
2083,Mining,2060,1-Employment,Total,0.75,Large Higher Receipt
2084,Mining,2060,2-EmployeeCompensation,Direct,0,Large Higher Receipt
2085,Mining,2060,2-EmployeeCompensation,Indirect,27506.374,Large Higher Receipt
2086,Mining,2060,2-EmployeeCompensation,Induced,11648.512,Large Higher Receipt
2087,Mining,2060,2-EmployeeCompensation,Total,39154.886,Large Higher Receipt
2088,Mining,2060,3-PropietorsIncome,Direct,0,Large Higher Receipt
2089,Mining,2060,3-PropietorsIncome,Indirect,946.618,Large Higher Receipt
2090,Mining,2060,3-PropietorsIncome,Induced,4637.734,Large Higher Receipt
2091,Mining,2060,3-PropietorsIncome,Total,5584.352,Large Higher Receipt
2092,Mining,2060,4-LaborIncome,Direct,0,Large Higher Receipt
2093,Mining,2060,4-LaborIncome,Indirect,28452.994,Large Higher Receipt
2094,Mining,2060,4-LaborIncome,Induced,16286.242,Large Higher Receipt
2095,Mining,2060,4-LaborIncome,Total,44739.234,Large Higher Receipt
2096,Mining,2060,5-OtherPropertyTypeIncome,Direct,0,Large Higher Receipt
2097,Mining,2060,5-OtherPropertyTypeIncome,Indirect,61127.342,Large Higher Receipt
2098,Mining,2060,5-OtherPropertyTypeIncome,Induced,13005.05,Large Higher Receipt
2099,Mining,2060,5-OtherPropertyTypeIncome,Total,74132.396,Large Higher Receipt
2100,Mining,2060,6-IndirectBusinessTaxes,Direct,0,Large Higher Receipt
2101,Mining,2060,6-IndirectBusinessTaxes,Indirect,8106.51,Large Higher Receipt
2102,Mining,2060,6-IndirectBusinessTaxes,Induced,4369.85,Large Higher Receipt
2103,Mining,2060,6-IndirectBusinessTaxes,Total,12476.344,Large Higher Receipt
2104,Mining,2060,7-TotalValueAdded,Direct,0,Large Higher Receipt
2105,Mining,2060,7-TotalValueAdded,Indirect,97686.838,Large Higher Receipt
2106,Mining,2060,7-TotalValueAdded,Induced,33661.136,Large Higher Receipt
2107,Mining,2060,7-TotalValueAdded,Total,131347.982,Large Higher Receipt
2108,Mining,2060,8-Output,Direct,0,Large Higher Receipt
2109,Mining,2060,8-Output,Indirect,209231.99,Large Higher Receipt
2110,Mining,2060,8-Output,Induced,82903.858,Large Higher Receipt
2111,Mining,2060,8-Output,Total,292135.846,Large Higher Receipt
2112,Mining,2065,1-Employment,Direct,0,Large Higher Receipt
2113,Mining,2065,1-Employment,Indirect,0.522,Large Higher Receipt
2114,Mining,2065,1-Employment,Induced,0.22,Large Higher Receipt
2115,Mining,2065,1-Employment,Total,0.75,Large Higher Receipt
2116,Mining,2065,2-EmployeeCompensation,Direct,0,Large Higher Receipt
2117,Mining,2065,2-EmployeeCompensation,Indirect,27506.374,Large Higher Receipt
2118,Mining,2065,2-EmployeeCompensation,Induced,11648.512,Large Higher Receipt
2119,Mining,2065,2-EmployeeCompensation,Total,39154.886,Large Higher Receipt
2120,Mining,2065,3-PropietorsIncome,Direct,0,Large Higher Receipt
2121,Mining,2065,3-PropietorsIncome,Indirect,946.618,Large Higher Receipt
2122,Mining,2065,3-PropietorsIncome,Induced,4637.734,Large Higher Receipt
2123,Mining,2065,3-PropietorsIncome,Total,5584.352,Large Higher Receipt
2124,Mining,2065,4-LaborIncome,Direct,0,Large Higher Receipt
2125,Mining,2065,4-LaborIncome,Indirect,28452.994,Large Higher Receipt
2126,Mining,2065,4-LaborIncome,Induced,16286.242,Large Higher Receipt
2127,Mining,2065,4-LaborIncome,Total,44739.234,Large Higher Receipt
2128,Mining,2065,5-OtherPropertyTypeIncome,Direct,0,Large Higher Receipt
2129,Mining,2065,5-OtherPropertyTypeIncome,Indirect,61127.342,Large Higher Receipt
2130,Mining,2065,5-OtherPropertyTypeIncome,Induced,13005.05,Large Higher Receipt
2131,Mining,2065,5-OtherPropertyTypeIncome,Total,74132.396,Large Higher Receipt
2132,Mining,2065,6-IndirectBusinessTaxes,Direct,0,Large Higher Receipt
2133,Mining,2065,6-IndirectBusinessTaxes,Indirect,8106.51,Large Higher Receipt
2134,Mining,2065,6-IndirectBusinessTaxes,Induced,4369.85,Large Higher Receipt
2135,Mining,2065,6-IndirectBusinessTaxes,Total,12476.344,Large Higher Receipt
2136,Mining,2065,7-TotalValueAdded,Direct,0,Large Higher Receipt
2137,Mining,2065,7-TotalValueAdded,Indirect,97686.838,Large Higher Receipt
2138,Mining,2065,7-TotalValueAdded,Induced,33661.136,Large Higher Receipt
2139,Mining,2065,7-TotalValueAdded,Total,131347.982,Large Higher Receipt
2140,Mining,2065,8-Output,Direct,0,Large Higher Receipt
2141,Mining,2065,8-Output,Indirect,209231.99,Large Higher Receipt
2142,Mining,2065,8-Output,Induced,82903.858,Large Higher Receipt
2143,Mining,2065,8-Output,Total,292135.846,Large Higher Receipt
2144,Mining,2070,1-Employment,Direct,0,Large Higher Receipt
2145,Mining,2070,1-Employment,Indirect,0.522,Large Higher Receipt
2146,Mining,2070,1-Employment,Induced,0.22,Large Higher Receipt
2147,Mining,2070,1-Employment,Total,0.75,Large Higher Receipt
2148,Mining,2070,2-EmployeeCompensation,Direct,0,Large Higher Receipt
2149,Mining,2070,2-EmployeeCompensation,Indirect,27506.374,Large Higher Receipt
2150,Mining,2070,2-EmployeeCompensation,Induced,11648.512,Large Higher Receipt
2151,Mining,2070,2-EmployeeCompensation,Total,39154.886,Large Higher Receipt
2152,Mining,2070,3-PropietorsIncome,Direct,0,Large Higher Receipt
2153,Mining,2070,3-PropietorsIncome,Indirect,946.618,Large Higher Receipt
2154,Mining,2070,3-PropietorsIncome,Induced,4637.734,Large Higher Receipt
2155,Mining,2070,3-PropietorsIncome,Total,5584.352,Large Higher Receipt
2156,Mining,2070,4-LaborIncome,Direct,0,Large Higher Receipt
2157,Mining,2070,4-LaborIncome,Indirect,28452.994,Large Higher Receipt
2158,Mining,2070,4-LaborIncome,Induced,16286.242,Large Higher Receipt
2159,Mining,2070,4-LaborIncome,Total,44739.234,Large Higher Receipt
2160,Mining,2070,5-OtherPropertyTypeIncome,Direct,0,Large Higher Receipt
2161,Mining,2070,5-OtherPropertyTypeIncome,Indirect,61127.342,Large Higher Receipt
2162,Mining,2070,5-OtherPropertyTypeIncome,Induced,13005.05,Large Higher Receipt
2163,Mining,2070,5-OtherPropertyTypeIncome,Total,74132.396,Large Higher Receipt
2164,Mining,2070,6-IndirectBusinessTaxes,Direct,0,Large Higher Receipt
2165,Mining,2070,6-IndirectBusinessTaxes,Indirect,8106.51,Large Higher Receipt
2166,Mining,2070,6-IndirectBusinessTaxes,Induced,4369.85,Large Higher Receipt
2167,Mining,2070,6-IndirectBusinessTaxes,Total,12476.344,Large Higher Receipt
2168,Mining,2070,7-TotalValueAdded,Direct,0,Large Higher Receipt
2169,Mining,2070,7-TotalValueAdded,Indirect,97686.838,Large Higher Receipt
2170,Mining,2070,7-TotalValueAdded,Induced,33661.136,Large Higher Receipt
2171,Mining,2070,7-TotalValueAdded,Total,131347.982,Large Higher Receipt
2172,Mining,2070,8-Output,Direct,0,Large Higher Receipt
2173,Mining,2070,8-Output,Indirect,209231.99,Large Higher Receipt
2174,Mining,2070,8-Output,Induced,82903.858,Large Higher Receipt
2175,Mining,2070,8-Output,Total,292135.846,Large Higher Receipt
2176,Mining,2075,1-Employment,Direct,0,Large Higher Receipt
2177,Mining,2075,1-Employment,Indirect,0.522,Large Higher Receipt
2178,Mining,2075,1-Employment,Induced,0.22,Large Higher Receipt
2179,Mining,2075,1-Employment,Total,0.75,Large Higher Receipt
2180,Mining,2075,2-EmployeeCompensation,Direct,0,Large Higher Receipt
2181,Mining,2075,2-EmployeeCompensation,Indirect,27506.374,Large Higher Receipt
2182,Mining,2075,2-EmployeeCompensation,Induced,11648.512,Large Higher Receipt
2183,Mining,2075,2-EmployeeCompensation,Total,39154.886,Large Higher Receipt
2184,Mining,2075,3-PropietorsIncome,Direct,0,Large Higher Receipt
2185,Mining,2075,3-PropietorsIncome,Indirect,946.618,Large Higher Receipt
2186,Mining,2075,3-PropietorsIncome,Induced,4637.734,Large Higher Receipt
2187,Mining,2075,3-PropietorsIncome,Total,5584.352,Large Higher Receipt
2188,Mining,2075,4-LaborIncome,Direct,0,Large Higher Receipt
2189,Mining,2075,4-LaborIncome,Indirect,28452.994,Large Higher Receipt
2190,Mining,2075,4-LaborIncome,Induced,16286.242,Large Higher Receipt
2191,Mining,2075,4-LaborIncome,Total,44739.234,Large Higher Receipt
2192,Mining,2075,5-OtherPropertyTypeIncome,Direct,0,Large Higher Receipt
2193,Mining,2075,5-OtherPropertyTypeIncome,Indirect,61127.342,Large Higher Receipt
2194,Mining,2075,5-OtherPropertyTypeIncome,Induced,13005.05,Large Higher Receipt
2195,Mining,2075,5-OtherPropertyTypeIncome,Total,74132.396,Large Higher Receipt
2196,Mining,2075,6-IndirectBusinessTaxes,Direct,0,Large Higher Receipt
2197,Mining,2075,6-IndirectBusinessTaxes,Indirect,8106.51,Large Higher Receipt
2198,Mining,2075,6-IndirectBusinessTaxes,Induced,4369.85,Large Higher Receipt
2199,Mining,2075,6-IndirectBusinessTaxes,Total,12476.344,Large Higher Receipt
2200,Mining,2075,7-TotalValueAdded,Direct,0,Large Higher Receipt
2201,Mining,2075,7-TotalValueAdded,Indirect,97686.838,Large Higher Receipt
2202,Mining,2075,7-TotalValueAdded,Induced,33661.136,Large Higher Receipt
2203,Mining,2075,7-TotalValueAdded,Total,131347.982,Large Higher Receipt
2204,Mining,2075,8-Output,Direct,0,Large Higher Receipt
2205,Mining,2075,8-Output,Indirect,209231.99,Large Higher Receipt
2206,Mining,2075,8-Output,Induced,82903.858,Large Higher Receipt
2207,Mining,2075,8-Output,Total,292135.846,Large Higher Receipt
2208,Mining,2080,1-Employment,Direct,0,Large Higher Receipt
2209,Mining,2080,1-Employment,Indirect,0.736,Large Higher Receipt
2210,Mining,2080,1-Employment,Induced,0.262,Large Higher Receipt
2211,Mining,2080,1-Employment,Total,1.002,Large Higher Receipt
2212,Mining,2080,2-EmployeeCompensation,Direct,0,Large Higher Receipt
2213,Mining,2080,2-EmployeeCompensation,Indirect,39282.094,Large Higher Receipt
2214,Mining,2080,2-EmployeeCompensation,Induced,14152.526,Large Higher Receipt
2215,Mining,2080,2-EmployeeCompensation,Total,53434.614,Large Higher Receipt
2216,Mining,2080,3-PropietorsIncome,Direct,0,Large Higher Receipt
2217,Mining,2080,3-PropietorsIncome,Indirect,861.552,Large Higher Receipt
2218,Mining,2080,3-PropietorsIncome,Induced,5773.552,Large Higher Receipt
2219,Mining,2080,3-PropietorsIncome,Total,6635.104,Large Higher Receipt
2220,Mining,2080,4-LaborIncome,Direct,0,Large Higher Receipt
2221,Mining,2080,4-LaborIncome,Indirect,40143.64,Large Higher Receipt
2222,Mining,2080,4-LaborIncome,Induced,19926.078,Large Higher Receipt
2223,Mining,2080,4-LaborIncome,Total,60069.718,Large Higher Receipt
2224,Mining,2080,5-OtherPropertyTypeIncome,Direct,0,Large Higher Receipt
2225,Mining,2080,5-OtherPropertyTypeIncome,Indirect,86987.648,Large Higher Receipt
2226,Mining,2080,5-OtherPropertyTypeIncome,Induced,15573.56,Large Higher Receipt
2227,Mining,2080,5-OtherPropertyTypeIncome,Total,102561.206,Large Higher Receipt
2228,Mining,2080,6-IndirectBusinessTaxes,Direct,0,Large Higher Receipt
2229,Mining,2080,6-IndirectBusinessTaxes,Indirect,11401.868,Large Higher Receipt
2230,Mining,2080,6-IndirectBusinessTaxes,Induced,5211.184,Large Higher Receipt
2231,Mining,2080,6-IndirectBusinessTaxes,Total,16613.056,Large Higher Receipt
2232,Mining,2080,7-TotalValueAdded,Direct,0,Large Higher Receipt
2233,Mining,2080,7-TotalValueAdded,Indirect,138533.156,Large Higher Receipt
2234,Mining,2080,7-TotalValueAdded,Induced,40710.814,Large Higher Receipt
2235,Mining,2080,7-TotalValueAdded,Total,179243.978,Large Higher Receipt
2236,Mining,2080,8-Output,Direct,0,Large Higher Receipt
2237,Mining,2080,8-Output,Indirect,292607.186,Large Higher Receipt
2238,Mining,2080,8-Output,Induced,100962.608,Large Higher Receipt
2239,Mining,2080,8-Output,Total,393569.8,Large Higher Receipt
2240,Mining,2085,1-Employment,Direct,0,Large Higher Receipt
2241,Mining,2085,1-Employment,Indirect,0.938,Large Higher Receipt
2242,Mining,2085,1-Employment,Induced,0.316,Large Higher Receipt
2243,Mining,2085,1-Employment,Total,1.248,Large Higher Receipt
2244,Mining,2085,2-EmployeeCompensation,Direct,0,Large Higher Receipt
2245,Mining,2085,2-EmployeeCompensation,Indirect,50427.144,Large Higher Receipt
2246,Mining,2085,2-EmployeeCompensation,Induced,16646.968,Large Higher Receipt
2247,Mining,2085,2-EmployeeCompensation,Total,67074.112,Large Higher Receipt
